# Constructed from biom file
#OTU ID	GEN-DONOR	GL1-17	GL1-37	GL2-17	GL2-23	GL2-40	GL3-deep	GL3-mid	GL3-shallow	GL4-18	GL4-25	GL4-40	MOCK-EVEN	MOCK-STAG	tr-blk
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales	0.03995842476036494	0.000769296521070177	0.0002860593732121289	0.006945316095560855	0.0013174362690204862	0.008859609268514312	0.010682492581602374	0.004642803654335779	0.00023761435190685517	0.004404855129209084	0.000784810890760361	0.000870351153215278	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013126959247648904	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales	0.0	0.0	0.0	0.0009623028325174679	0.0	0.0	0.0013218235770164554	0.0012480654984773601	0.0	0.0019903419472722525	0.00033203537686015273	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales	0.040073911537129	0.004957688691341141	0.018816349882397814	0.12802811597841093	0.05217047625321125	0.13876268362865365	0.1415969786889668	0.10323997803404723	0.035285731258167995	0.12796919864265205	0.07226297201847325	0.10340441201084591	0.0	0.0	0.005286110744020087
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales	0.027226007622127266	0.004672764053907741	0.0073104062043099615	0.020082841722103676	0.009189117976417891	0.014879600181735574	0.00909090909090909	0.008586690629524238	0.001782107639301414	0.017652049073348997	0.005644601406622597	0.014427744116760954	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__PeM15	0.005832082226585056	0.0	0.0014302968660606446	0.001004142086105184	0.0018444107766286805	0.0	0.002724575128135959	0.0026458988567720034	0.0	0.0020882276168102325	0.0021431374324609857	0.0028788538144813042	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales	0.0	0.0	0.0	0.0017154093970963558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004898119122257054	0.0004049539364897243	0.01920620236993965
D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria;D_3__Nitriliruptorales	0.0007795357431574085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales	0.0006640489663933479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81;D_3__uncultured_bacterium	0.0	0.0013106533321936347	0.008136799949145	0.0	0.0013503721757459983	0.0054899288202332275	0.012435932020501753	0.0002995357196345664	0.0	0.0006199425737405377	0.0024449877750611247	0.004251330633013088	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81;D_3__uncultured_eubacterium_WCHB1-81	0.0	0.0	0.00019070624880808594	0.0	0.0	7.572315614114796e-05	0.0002158079309414621	0.0	0.0	0.0	0.0002414802740801111	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81;__	0.0	0.0003988944924067584	0.0032420062297374612	0.0	0.0006916540412357553	0.0030289262456459185	0.004531966549770704	0.0	0.0	0.0	0.0006037006852002777	0.0014394269072406521	0.0	0.0	0.0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia;D_3__Fimbriimonadales	0.0	0.0	0.0022884749856970314	0.001213338354043764	0.0023384493775113627	0.0005300620929880358	0.0	0.0	0.00019801195992237932	0.015368050117462803	0.007002927948323221	0.015264620225621799	0.0	0.0	0.0
D_0__Bacteria;D_1__Atribacteria;D_2__JS1;__	0.0	0.0003988944924067584	0.003782340601360371	0.0	0.0015479876160990713	0.002347417840375587	0.010439708659293228	0.0	0.0	0.0	0.0006640707537203055	0.006159408161215814	0.0	0.0	0.0
D_0__Bacteria;D_1__BRC1;D_2__uncultured_organism;D_3__uncultured_organism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009707762862785793	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales	0.0	0.0	0.024664674845845783	0.020501234257980838	0.01877346683354193	0.010222626079054975	0.004504990558403021	0.0008486845389646049	0.001782107639301414	0.0001631427825632994	0.03275076217211507	0.018679074749774042	0.25286050156739814	0.0006749232274828738	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidetes_VC2.1_Bac22	0.0	0.0	0.0074375437035153515	0.0037655328228944395	0.0028654238851195573	0.0028017567772224746	0.0006204478014567035	0.0	0.00019801195992237932	0.007047768206734534	0.0027468381176612637	0.0004017005322532052	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales	0.01232821341956346	0.0004273869561500983	0.00705613120589918	0.07761181540521317	0.07519267505434425	0.03665000757231562	0.0906123550040464	0.11007937696570316	0.01817749792087442	0.02117593317671626	0.01633010353466751	0.02132360325377431	0.0	0.0	0.005506365358354258
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales	0.0	0.00017095478246003932	0.010902040556862247	0.02359733902347182	0.013371978130557934	0.01609117067999394	0.016967898570272456	0.03419699465827967	0.01857352184071918	0.03752283998955886	0.03700685200277702	0.07639005121681786	0.0	0.0	0.0017179859918065284
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales	0.06406628940986257	0.5744080690657322	0.022535121734155488	0.07204719467804695	0.0214083393715829	0.02994850825382402	0.021364985163204748	0.010733363286905297	0.022375351471228863	0.23159749412685982	0.04047813094267862	0.0381615505640545	0.0	0.0	0.02678296110303511
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales	0.004273010740270239	0.0026213066643872695	0.08429216197317399	0.04334546671687377	0.03043277781437323	0.04494169316977131	0.08508227677367143	0.01927013129649044	0.00506910617401291	0.028811015400678673	0.06061154879410788	0.07659090148294447	0.0	0.0	0.0010572221488040175
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;__	0.0	0.0	0.0	0.00029287477511401197	0.0	0.0	0.0	0.0	0.0	0.001598799269120334	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Chlorobia;D_3__Chlorobiales	0.0	0.0002279397099467191	0.030322293560485665	0.004267603865947031	0.0049733219155523355	0.006133575647432985	0.0029134070677097382	0.001098297638660077	0.0012276741515187518	0.0	0.007878293941863623	0.0009038261975697118	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__Ignavibacteriales	0.0	0.0012536684047069551	0.012650181170936367	0.0031379440190786997	0.00214083393715829	0.002120248371952143	0.002751551119503642	0.0008486845389646049	0.0013464813274721792	0.0006525711302531976	0.012858824594765915	0.004653031165266294	0.0	0.0	0.00017620369146733624
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__Kryptoniales	0.0	0.0	0.0019706312376835547	0.0	0.0010210131084908767	0.0022338331061638648	0.0022390072835176693	0.0	0.0	0.0	0.0010866612333604998	0.0007029759314431092	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__OPB56	0.0012414828502136505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Rhodothermia;D_3__Balneolales	0.005774338838203026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Rhodothermia;D_3__Rhodothermales	0.0008084074373484236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Caldiserica;D_2__Caldisericia;D_3__Caldisericales	0.0	0.0	0.0005403343716229101	0.0	0.0	0.0	0.0002158079309414621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae;D_3__Chlamydiales	0.0	0.0	0.0005085499968215625	0.0	0.0	0.0	0.00045859185325060694	0.0	0.0	0.0	0.0	0.0008034010645064104	0.0	0.0	0.0
D_0__Bacteria;D_1__Chlamydiae;D_2__LD1-PA32;Ambiguous_taxa	0.0	0.0	0.0011760218676498634	0.0	0.0	0.00015144631228229593	0.0010790396547073105	0.0	0.0	0.00013051422605063953	0.0003924054453801805	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Chlamydiae;D_2__LD1-PA32;D_3__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0002964231605296094	0.0	0.0004855678446182897	0.0	0.0	0.0	0.0	0.0005356007096709403	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales	0.0	0.000740804057326837	0.012427690547326934	0.0012970168612191958	0.005697911863513603	0.015296077540511889	0.00507148637712436	0.0	0.0	0.000554685460715218	0.007999034078903679	0.008636561443443913	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__RBG-13-54-9	0.0	0.0	0.0007310406204309962	0.0	0.00019761544035307293	0.0008708162956232015	0.0007553277582951173	0.0	0.0	0.0	9.055510278004166e-05	0.001740702306430556	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__SJA-15	0.0	0.0	0.0	0.0	0.0	0.0005679236710586097	0.0004855678446182897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales	0.0	0.0	0.0	0.005606459980753944	0.0013833080824715105	0.003786157807057398	0.0025087671971944967	0.0	0.0	0.0013377708170190551	0.0020223972954209303	0.002912328858835738	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia;D_3__GIF9	0.0	0.0009687437672735561	0.031021549806115312	0.0007531065645788879	0.0068506685989065275	0.014955323337876723	0.05718910169948745	0.00044930357945184964	0.0	0.0004894283476898982	0.007938664010383652	0.012318816322431628	0.0	0.0	0.00017620369146733624
D_0__Bacteria;D_1__Chloroflexi;D_2__SL56_marine_group;__	0.0	0.0	0.0011442374928485157	0.007405547885025731	0.0008892694815888281	0.01245645918521884	0.009252765039115188	0.0	0.0	0.012039937353171496	0.0	0.00013390017741773507	0.0	0.0	0.0
D_0__Bacteria;D_1__Cloacimonetes;D_2__Cloacimonadia;D_3__Cloacimonadales	0.0	0.0	0.0005721187464242578	0.0	0.0	0.00045433893684688776	0.00010790396547073105	0.0	0.0	0.0	9.055510278004166e-05	0.0019415525725571586	0.0	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Gastranaerophilales	0.0	0.0	0.007246837454707266	0.0010459813396929	0.0004940386008826823	0.0006815084052703317	0.00016185594820609657	0.0	0.00035642152786028277	0.0001631427825632994	0.0006037006852002777	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales	0.004042037186742118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales	0.31764637948954844	0.01270763882952959	0.03963511537728053	0.06757039454416133	0.02371385284236875	0.05773890655762532	0.03935797140544915	0.14023263940891617	0.01358362045067522	0.043330723048812324	0.01654139877448761	0.0038161550564054496	0.0	0.0	0.028324743403374302
D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03824451410658307	0.00016873080687071845	0.0
D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae;D_3__Babeliales	0.0	0.0	0.002224906236094336	0.0	0.0006587181345102431	0.0008708162956232015	0.0004316158618829242	0.0	0.0	0.0	0.0011470313018805277	0.0005356007096709403	0.0	0.0	0.0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia;D_3__Lineage_IV	0.0	0.0	0.0011760218676498634	0.0	0.0	0.0007572315614114796	0.0	0.0	0.0	0.0	0.0002414802740801111	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia;D_3__MVP-88	0.0	0.0	0.0006992562456296484	0.0	0.00046110269415717013	0.00022716946842344388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Rs-M47;D_3__uncultured_bacterium	0.0	0.0	0.001112453118047168	0.0	0.0002634872538040972	0.00030289262456459186	0.0	0.0	0.0	0.0	0.00012074013704005555	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales	0.0	0.010855628686212497	0.015510774903057656	0.0055227814735785115	0.00935379751004545	0.0051491746175980615	0.0021311033180469383	0.007288702511107783	0.0015048908954100827	0.0024797702949621507	0.17954058377856258	0.0307300907173702	0.03773510971786834	0.0016873080687071845	0.0010131712259371835
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales	0.0	0.0595777416873237	0.002224906236094336	0.012593615329902514	0.05246689941374086	0.003558988338633954	0.000566495818721338	0.0	0.0	0.0004894283476898982	0.0011168462676205138	0.00026780035483547015	0.16696708463949844	0.3181250632740526	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales	0.0	0.006325326951021455	0.0	0.001966444918622652	0.020749621237072656	0.0009086778736937755	0.0	0.0	0.0	0.0	0.0	0.0	0.15948275862068967	0.28279283231532415	0.00017620369146733624
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales	0.0	0.002250904635723851	0.002479181234505117	0.000125517760763148	0.0008233976681378038	0.0011358473421172195	0.0021850553007823036	0.0	0.0	0.0	0.0006942557879803194	0.002343253104810364	0.07934952978056427	0.02962912968649816	0.037795691819743626
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia;D_3__Erysipelotrichales	0.001992146899180044	0.0	0.00019070624880808594	0.0036400150621312918	0.0	0.0022338331061638648	0.0005395198273536552	0.0022964405171983426	0.00011880717595342758	0.004567997911772383	0.0006942557879803194	0.0009038261975697118	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes;D_3__Selenomonadales	0.0	0.0	0.001303159366855254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004829605481602222	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales	0.0	0.0	0.001589218740067383	0.0	0.00032935906725512155	0.0	0.0	0.0	0.0	0.0	0.0	0.00030127539918990394	0.0	0.0	0.0
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11_terrestrial_group;D_3__uncultured_bacterium	0.00112599607344959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Hydrogenedentes;D_2__Hydrogenedentia;D_3__Hydrogenedentiales	0.0	0.0	0.00044498124721886723	0.0	0.0	0.0003786157807057398	0.0	0.0	0.0	0.0	0.00012074013704005555	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Kiritimatiellaeota;D_2__Kiritimatiellae;D_3__Kiritimatiellales	0.0	0.0	0.0019706312376835547	0.0	0.0004940386008826823	0.0010601241859760715	0.00045859185325060694	0.0	0.0	6.525711302531976e-05	0.0006942557879803194	0.001004251330633013	0.0	0.0	0.0
D_0__Bacteria;D_1__Kiritimatiellaeota;D_2__Kiritimatiellae;D_3__WCHB1-41	0.0007795357431574085	0.0	0.01668679677070752	0.0025940337224383916	0.0033265265792767275	0.004619112524610025	0.011437820339897492	0.000499226199390944	0.0	0.0005220569042025581	0.010323281716924749	0.012954842165165868	0.0	0.0	0.0
D_0__Bacteria;D_1__LCP-89;D_2__uncultured_bacterium;D_3__uncultured_bacterium	0.0	0.0	0.0004767656220202149	0.0	0.00023055134707858507	0.0002650310464940179	0.0005395198273536552	0.0	0.0	0.0	0.0	0.0005690757540253741	0.0	0.0	0.0
D_0__Bacteria;D_1__Latescibacteria;D_2__Latescibacteria;D_3__Latescibacterales	0.0	0.0	0.0	0.0	0.00023055134707858507	0.0	0.0	0.0	0.0	0.0	0.0	0.000435175576607639	0.0	0.0	0.0
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured_planctomycete;D_3__uncultured_planctomycete	0.0	0.0	0.0008899624944377345	0.0010878205932806158	0.0007245899479612674	0.0003786157807057398	0.0	0.0	0.0	0.0	0.0005735156509402638	0.00023432531048103638	0.0	0.0	0.0
D_0__Bacteria;D_1__Lentisphaerae;D_2__Lentisphaeria;D_3__Victivallales	0.0	0.00014246231871669943	0.00556226559023584	0.0008786243253420359	0.0	0.0006815084052703317	0.0048556784461828975	0.0007987619190255105	0.00039602391984475864	0.00035891412163925867	0.002807208186181291	0.0012385766411140496	0.0	0.0	0.00017620369146733624
D_0__Bacteria;D_1__Lentisphaerae;D_2__Oligosphaeria;D_3__Oligosphaerales	0.0	0.0	0.002129553111690293	0.0	0.0	0.0006057852491291837	0.0010790396547073105	0.0	0.0	0.0	0.0	0.0019080775282027248	0.0	0.0	0.0
D_0__Bacteria;D_1__Margulisbacteria;D_2__uncultured_bacterium;D_3__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009135995823544767	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Marinimicrobia_(SAR406_clade);D_2__uncultured_Bacteroidetes/Chlorobi_group_bacterium;D_3__uncultured_Bacteroidetes/Chlorobi_group_bacterium	0.0	0.0	0.003432712478545547	0.0	0.0	0.0015523247008935332	0.0	0.0	0.0	0.0	0.0	0.0025441033709369663	0.0	0.0	0.0
D_0__Bacteria;D_1__Marinimicrobia_(SAR406_clade);__;__	0.0	0.0	0.0013667281164579492	0.0	0.0	0.002158109950022717	0.0	0.0	0.0	0.0	0.0012375864046605693	0.003079704080607907	0.0	0.0	0.0
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__Omnitrophia;D_3__Omnitrophales	0.0	0.0	0.0	0.0	0.0	0.0009844010298349236	0.0006204478014567035	0.0	0.0	0.0	0.0005131455824202361	0.001472901951595086	0.0	0.0	0.0
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__Omnitrophica_WOR_2_bacterium_RIFCSPLOWO2_12_FULL_51_24;D_3__Omnitrophica_WOR_2_bacterium_RIFCSPLOWO2_12_FULL_51_24	0.0	0.0	0.002129553111690293	0.0	0.00039523088070614587	0.0006057852491291837	0.002023199352576207	0.0	0.0	9.788566953797964e-05	0.001056476199100486	0.001874602483848291	0.0	0.0	0.0
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__uncultured_Banisveld_landfill_bacterium_BVC56;D_3__uncultured_Banisveld_landfill_bacterium_BVC56	0.0	0.0	0.0020977687368889456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007244408222403332	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__uncultured_Omnitrophica_bacterium;D_3__uncultured_Omnitrophica_bacterium	0.0	0.0	0.013794418663784884	0.0	0.0007575258546867796	0.010411933969407846	0.0057458861613164285	0.0	0.0003168191358758069	0.0	0.006248302091822874	0.007163659491848827	0.0	0.0	0.0
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__uncultured_Verrucomicrobia_bacterium;D_3__uncultured_Verrucomicrobia_bacterium	0.0	0.0	0.0007310406204309962	0.0	0.0	0.0006815084052703317	0.0008362557323981656	0.0	0.0	0.0003262855651265988	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__uncultured_bacterium;D_3__uncultured_bacterium	0.0	0.0	0.01671858114550887	0.0	0.0010210131084908767	0.006398606693927003	0.010466684650660911	0.0	0.000277216743891331	0.00019577133907595928	0.005493676235322527	0.012586616677267097	0.0	0.0	0.0
D_0__Bacteria;D_1__Omnitrophicaeota;__;__	0.0	0.0	0.002860593732121289	0.0	0.0	0.0010601241859760715	0.0021311033180469383	0.0	0.0	0.0	0.0022035075009810136	0.0006025507983798079	0.0	0.0	0.0
