# Constructed from biom file
#OTU ID	GEN-DONOR	GL1-17	GL1-37	GL2-17	GL2-23	GL2-40	GL3-deep	GL3-mid	GL3-shallow	GL4-18	GL4-25	GL4-40	MOCK-EVEN	MOCK-STAG	tr-blk
D_0__Archaea;D_1__Altiarchaeota;D_2__Altiarchaeia	0.0	0.0	0.0	0.0	0.0	0.00015144631228229593	0.00037766387914755866	0.0	0.0	0.0	0.00012074013704005555	0.0011381515080507482	0.0	0.0	0.0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia	0.0	0.0	0.0003814124976161719	0.0	0.0	0.0	0.0008902077151335311	0.0	0.0	0.0	0.0002414802740801111	0.00046865062096207276	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia	0.0	0.0	0.0014302968660606446	0.0	0.0001317436269020486	0.00030289262456459186	0.0	0.0	0.0	0.0	0.0001811102055600833	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia	0.0	0.0	0.0014620812408619923	0.0	0.0	0.0	0.0	0.00039938095951275523	0.0007128430557205655	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata	0.003551218385494861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia	0.0	0.00034190956492007865	0.03731485601678215	0.0006694280574034559	0.004775706475199262	0.030402847190670906	0.0075263015915834905	0.0	0.0	0.0028713129731140694	0.02167285459868997	0.032202992668965286	0.0	0.0	0.0
D_0__Archaea;__;__	0.0	0.0	0.0005085499968215625	0.0	0.0	0.00022716946842344388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia	0.0	0.0	0.00012713749920539063	0.0	0.0	0.0	0.0002697599136768276	0.0	0.0	0.0	0.0	0.0003682254878987715	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Aminicenantia	0.0	0.0003988944924067584	0.007119699955501876	0.0	0.001086884921941901	0.0063228835377858545	0.007661181548421905	0.00019969047975637762	0.0	0.0	0.0027770231519212776	0.008569611354735045	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia	0.03995842476036494	0.000769296521070177	0.0002860593732121289	0.006945316095560855	0.0013174362690204862	0.008859609268514312	0.010682492581602374	0.004642803654335779	0.00023761435190685517	0.004404855129209084	0.000784810890760361	0.000870351153215278	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria	0.07313200138584132	0.009630452745248881	0.027557052952768418	0.15179281201623362	0.06320400500625782	0.15364228381038922	0.15473428648502832	0.11572063301882082	0.03706783889746941	0.14969981728008352	0.08038274623441698	0.12071100994208818	0.018025078369905956	0.0004049539364897243	0.02449231311395974
D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria	0.0007795357431574085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia	0.0006640489663933479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81	0.0	0.0017095478246003932	0.011569512427690547	0.0	0.0020420262169817535	0.008594578222020293	0.01718370650121392	0.0002995357196345664	0.0	0.0006199425737405377	0.0032901687343415134	0.0056907575402537405	0.0	0.0	0.0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia	0.0	0.0	0.0022884749856970314	0.001213338354043764	0.0023384493775113627	0.0005300620929880358	0.0	0.0	0.00019801195992237932	0.015368050117462803	0.007002927948323221	0.015264620225621799	0.0	0.0	0.0
