# Constructed from biom file
#OTU ID	GEN-DONOR	GL1-17	GL1-37	GL2-17	GL2-23	GL2-40	GL3-deep	GL3-mid	GL3-shallow	GL4-18	GL4-25	GL4-40	MOCK-EVEN	MOCK-STAG	tr-blk
D_0__Archaea;D_1__Altiarchaeota	0.0	0.0	0.0	0.0	0.0	0.00015144631228229593	0.00037766387914755866	0.0	0.0	0.0	0.00012074013704005555	0.0011381515080507482	0.0	0.0	0.0
D_0__Archaea;D_1__Crenarchaeota	0.0	0.0	0.0003814124976161719	0.0	0.0	0.0	0.0008902077151335311	0.0	0.0	0.0	0.0002414802740801111	0.00046865062096207276	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites	0.0	0.0	0.0014302968660606446	0.0	0.0001317436269020486	0.00030289262456459186	0.0	0.0	0.0	0.0	0.0001811102055600833	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota	0.003551218385494861	0.0	0.0014620812408619923	0.0	0.0	0.0	0.0	0.00039938095951275523	0.0007128430557205655	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota	0.0	0.00034190956492007865	0.03731485601678215	0.0006694280574034559	0.004775706475199262	0.030402847190670906	0.0075263015915834905	0.0	0.0	0.0028713129731140694	0.02167285459868997	0.032202992668965286	0.0	0.0	0.0
D_0__Archaea;__	0.0	0.0	0.0005085499968215625	0.0	0.0	0.00022716946842344388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria	0.0	0.0003988944924067584	0.007246837454707266	0.0	0.001086884921941901	0.0063228835377858545	0.007930941462098733	0.00019969047975637762	0.0	0.0	0.0027770231519212776	0.008937836842633816	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria	0.11453401085575701	0.012109297090919452	0.0394126247536711	0.1587381281117945	0.06656346749226007	0.1710964713009238	0.1826004855678446	0.12066297239279117	0.037305453249376265	0.15472461498303314	0.08445772585951886	0.12727211863555718	0.018025078369905956	0.0004049539364897243	0.02449231311395974
D_0__Bacteria;D_1__Armatimonadetes	0.0	0.0	0.0022884749856970314	0.001213338354043764	0.0023384493775113627	0.0005300620929880358	0.0	0.0	0.00019801195992237932	0.015368050117462803	0.007002927948323221	0.015264620225621799	0.0	0.0	0.0
D_0__Bacteria;D_1__Atribacteria	0.0	0.0003988944924067584	0.003782340601360371	0.0	0.0015479876160990713	0.002347417840375587	0.010439708659293228	0.0	0.0	0.0	0.0006640707537203055	0.006159408161215814	0.0	0.0	0.0
D_0__Bacteria;D_1__BRC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009707762862785793	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes	0.08849174269546137	0.5791093255833832	0.2018307799885576	0.24856700556462072	0.1701798300507213	0.15114341965773134	0.22705691934178582	0.17707553292396785	0.0687497524850501	0.328569564082485	0.2117480153339974	0.2378067150938975	0.25286050156739814	0.0006749232274828738	0.03524073829346725
D_0__Bacteria;D_1__Caldiserica	0.0	0.0	0.0005403343716229101	0.0	0.0	0.0	0.0002158079309414621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Chlamydiae	0.0	0.0	0.0016845718644714258	0.0	0.0002964231605296094	0.00015144631228229593	0.002023199352576207	0.0	0.0	0.00013051422605063953	0.0003924054453801805	0.0013390017741773507	0.0	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi	0.0	0.0017095478246003932	0.04532451846672176	0.015062131291577758	0.015018773466833541	0.047932757837346664	0.07526301591583491	0.00044930357945184964	0.0	0.014421821978595668	0.018050650487488305	0.02574230910855957	0.0	0.0	0.00017620369146733624
D_0__Bacteria;D_1__Cloacimonetes	0.0	0.0	0.0005721187464242578	0.0	0.0	0.00045433893684688776	0.00010790396547073105	0.0	0.0	0.0	9.055510278004166e-05	0.0019415525725571586	0.0	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria	0.32168841667629056	0.01270763882952959	0.046881952831987796	0.06861637588385423	0.024207891443251434	0.058420414962895656	0.039519827353655244	0.14023263940891617	0.013940041978535503	0.04349386583137562	0.017145099459687885	0.0038161550564054496	0.0	0.0	0.028324743403374302
D_0__Bacteria;D_1__Deinococcus-Thermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03824451410658307	0.00016873080687071845	0.0
D_0__Bacteria;D_1__Dependentiae	0.0	0.0	0.002224906236094336	0.0	0.0006587181345102431	0.0008708162956232015	0.0004316158618829242	0.0	0.0	0.0	0.0011470313018805277	0.0005356007096709403	0.0	0.0	0.0
D_0__Bacteria;D_1__Elusimicrobia	0.0	0.0	0.00298773123132668	0.0	0.0007245899479612674	0.0012872936543995154	0.0	0.0	0.0	0.0	0.0003622204111201666	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Epsilonbacteraeota	0.0	0.010855628686212497	0.015510774903057656	0.0055227814735785115	0.00935379751004545	0.0051491746175980615	0.0021311033180469383	0.007288702511107783	0.0015048908954100827	0.0024797702949621507	0.17954058377856258	0.0307300907173702	0.03773510971786834	0.0016873080687071845	0.0010131712259371835
D_0__Bacteria;D_1__Firmicutes	0.001992146899180044	0.06815397327406901	0.006197953086262793	0.018325593071419607	0.07403991831895132	0.007837346660608814	0.003291070946857297	0.0022964405171983426	0.00011880717595342758	0.005057426259462282	0.002988318391741375	0.0035148796572155457	0.40579937304075236	0.6305470252758749	0.03797189551121096
