# Constructed from biom file
#OTU ID	GEN-DONOR	GL1-17	GL1-37	GL2-17	GL2-23	GL2-40	GL3-deep	GL3-mid	GL3-shallow	GL4-18	GL4-25	GL4-40	MOCK-EVEN	MOCK-STAG	tr-blk
D_0__Archaea;D_1__Altiarchaeota;D_2__Altiarchaeia;D_3__uncultured_archaeon;D_4__uncultured_archaeon;D_5__uncultured_archaeon;D_6__uncultured_archaeon	0.0	0.0	0.0	0.0	0.0	0.00015144631228229593	0.00037766387914755866	0.0	0.0	0.0	0.00012074013704005555	0.0011381515080507482	0.0	0.0	0.0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;D_3__uncultured_methanogenic_archaeon;D_4__uncultured_methanogenic_archaeon;D_5__uncultured_methanogenic_archaeon;D_6__uncultured_methanogenic_archaeon	0.0	0.0	0.00015892187400673829	0.0	0.0	0.0	0.000674399784192069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;__;__;__;__	0.0	0.0	0.00022249062360943362	0.0	0.0	0.0	0.0002158079309414621	0.0	0.0	0.0	0.0002414802740801111	0.00046865062096207276	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__uncultured_archaeon;D_5__uncultured_archaeon;D_6__uncultured_archaeon	0.0	0.0	0.0004767656220202149	0.0	0.0	0.00030289262456459186	0.0	0.0	0.0	0.0	0.0001811102055600833	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__uncultured_prokaryote;D_5__uncultured_prokaryote;D_6__uncultured_prokaryote	0.0	0.0	0.0009535312440404298	0.0	0.0001317436269020486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanoregulaceae;D_5__Methanoregula;Ambiguous_taxa	0.0	0.0	0.0014620812408619923	0.0	0.0	0.0	0.0	0.00039938095951275523	0.0007128430557205655	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine_Group_II;__;__;__	0.003551218385494861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus_Amesbacteria_bacterium_GW2011_GWC1_47_15;D_4__Candidatus_Amesbacteria_bacterium_GW2011_GWC1_47_15;D_5__Candidatus_Amesbacteria_bacterium_GW2011_GWC1_47_15;D_6__Candidatus_Amesbacteria_bacterium_GW2011_GWC1_47_15	0.0	0.0	0.0007310406204309962	0.0	0.0	0.0009465394517643495	0.0	0.0	0.0	0.0	0.0	0.000736450975797543	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus_Diapherotrites_archaeon_ADurb.Bin253;D_4__Candidatus_Diapherotrites_archaeon_ADurb.Bin253;D_5__Candidatus_Diapherotrites_archaeon_ADurb.Bin253;D_6__Candidatus_Diapherotrites_archaeon_ADurb.Bin253	0.0	0.0	0.00610259996185875	0.00033471402870172796	0.0011198208286674132	0.006209298803574133	0.0002158079309414621	0.0	0.0	0.0007830853563038371	0.004346644933441999	0.006092458072506946	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus_Pacearchaeota_archaeon_RBG_19FT_COMBO_34_9;D_4__Candidatus_Pacearchaeota_archaeon_RBG_19FT_COMBO_34_9;D_5__Candidatus_Pacearchaeota_archaeon_RBG_19FT_COMBO_34_9;D_6__Candidatus_Pacearchaeota_archaeon_RBG_19FT_COMBO_34_9	0.0	0.0	0.0034009281037441995	0.0	0.0007245899479612674	0.002158109950022717	0.0008902077151335311	0.0	0.0	0.0005220569042025581	0.0016601768843007637	0.0017741773507849899	0.0	0.0	0.0
